id,url,title,subtitle,claps,responses,reading_time,publication,date,title_length,subtitle_length
1,https://towardsdatascience.com/not-all-rainbows-and-sunshine-the-darker-side-of-chatgpt-75917472b9c,not_all_rainbows_and_sunshine:_the_darker_side_of chatgpt,part_1:_the_risks_and_ethical issues…,453.0,11,9,towards_data_science,27-01-2023,57,37
2,https://towardsdatascience.com/ethics-in-ai-potential-root-causes-for-biased-algorithms-890091915aa3,ethics_in_ai:_potential_root_causes_for_biased_algorithms,an_alternative_approach_to_understanding_bias_in data,311.0,3,12,towards_data_science,27-01-2023,57,53
3,https://towardsdatascience.com/python-tuple-the-whole-truth-and-only-truth-lets-dig-deep-24d2bf02971b,"python_tuple,_the_whole_truth_and_only_the_truth:_let’s_dig deep",0,188.0,0,24,towards_data_science,27-01-2023,64,0
4,https://towardsdatascience.com/dates-and-subqueries-in-sql-eaf58a3c6cf9,dates_and_subqueries_in sql,working_with_dates_in sql,15.0,1,4,towards_data_science,27-01-2023,27,25
5,https://towardsdatascience.com/temporal-differences-with-python-first-sample-based-reinforcement-learning-algorithm-54c11745a0ee,temporal_differences_with_python:_first_sample-based_reinforcement_learning_algorithm,0,10.0,0,13,towards_data_science,27-01-2023,85,0
6,https://towardsdatascience.com/numpy-character-level-rnn-af1428bb10a8,going_under_the_hood_of_character-level_rnns:_a_numpy-based_implementation_guide,due_to_the recent…,27.0,0,17,towards_data_science,27-01-2023,80,18
7,https://uxdesign.cc/chatgpt-isnt-all-it-seems-93a674154530,"chatgpt_isn’t_all_it_seems,_read_this_before_you_use it.",chatgpt_is_an ai…,178.0,2,8,ux_collective,27-01-2023,56,17
8,https://medium.com/swlh/10-subtle-strategies-i-wish-i-knew-when-i-had-23-email-subscribers-and-made-0-online-3eb65c335060,10_subtle_strategies_i_wish_i_knew_when_i_had_23_email_subscribers_and_made_$0 online,0,3200.0,51,6,the_startup,27-01-2023,85,0
9,https://medium.com/swlh/how-to-start-a-niche-site-in-under-3-hours-with-checklist-f102482eaa3b,how_to_start_a_niche_site_in_under_3_hours_(with_checklist),how_to_build_a_niche_site_in_only_one hour…,426.0,7,8,the_startup,27-01-2023,59,43
10,https://medium.com/swlh/dont-become-a-full-time-content-creator-if-you-have-low-risk-tolerance-13fa2f77791a,don’t_become_a_full-time_content_creator_if_you_have_low-risk_tolerance,a_friendly_warning_before you…,847.0,10,4,the_startup,27-01-2023,71,30
11,https://medium.com/swlh/why-storytelling-is-a-critical-skill-for-startup-founders-73a0449ae402,why_storytelling_is_a_critical_skill_for_startup founders,0,477.0,2,6,the_startup,27-01-2023,57,0
12,https://medium.com/swlh/why-my-side-hustle-stuck-after-3-years-and-what-i-want-to-do-to-improve-it-b87ce72a1e19,why_my_side_hustle_stuck_after_3_years_and_what_i_want_to_do_to_improve it,a_change_is_required to…,130.0,2,4,the_startup,27-01-2023,74,24
13,https://writingcooperative.com/kill-your-perfectionism-with-an-abundance-mindset-bf8a6e9b561,kill_your_perfectionism_with_an_abundance_mindset,perfectionism_is_a recipe…,0.0,0,3,the_writing_cooperative,27-01-2023,49,26
14,https://writingcooperative.com/how-my-mba-made-me-a-better-fiction-writer-d222bc61a5b0,"<strong_class=""markup--strong_markup--h3-strong"">how_my_mba_made_me_a_better_fiction writer</strong>","six_years_after_graduating,_i’m_almost_glad_i_went there",199.0,5,5,the_writing_cooperative,27-01-2023,100,56
15,https://writingcooperative.com/for-this-writer-self-promotion-isnt-easy-bfd0929806ca,"for_this_writer,_self-promotion_isn’t easy",pushing_a_new_book_on_social_media_is_a_skill_set_i_wish i…,121.0,1,7,the_writing_cooperative,27-01-2023,42,59
16,https://writingcooperative.com/how-to-start-your-novel-with-momentum-to-finish-it-8d001f4908c5,how_to_start_your_novel_with_momentum_to_finish it,3_strategies_to_a_great_beginning.,174.0,3,5,the_writing_cooperative,27-01-2023,50,34
17,https://towardsdatascience.com/using-propensity-score-matching-to-build-leading-indicators-3e656dccbaf9,"<strong_class=""markup--strong_markup--h3-strong"">using_propensity-score_matching_to_build_leading_indicators</strong>","<strong_class=""markup--strong_markup--h4-strong"">a_short_guide_on_building_activation</strong>",117.0,1,6,towards_data_science,04-03-2023,117,94
18,https://towardsdatascience.com/coupon-collectors-problem-a-probability-masterpiece-1d5aed4af439,coupon_collector’s_problem:_a_probability_masterpiece,unpacking_the_intricacies_of_a classic…,198.0,2,14,towards_data_science,04-03-2023,53,39
19,https://towardsdatascience.com/r-for-data-analysis-how-to-find-the-perfect-cocomelon-video-for-your-kids-833d6b2d9267,r_for_data_analysis:_how_to_find_the_perfect_cocomelon_video_for_your kids,how_to_build_end-to-end…,88.0,0,9,towards_data_science,04-03-2023,74,24
20,https://uxdesign.cc/sparkles-arent-good-ux-4b8199497c68,sparkles_aren’t_good ux✨,"even_if_they’re_aesthetically_pleasing,_you_can’t_substitute_important…",210.0,3,6,ux_collective,04-03-2023,24,71
21,https://uxdesign.cc/visualizing-direction-and-the-use-of-arrows-4b65126d0677,visualizing_direction_and_the_use_of arrows,how_graphic_arrows_support_our_natural_abilities_and make…,372.0,5,7,ux_collective,04-03-2023,43,58
22,https://uxdesign.cc/building-massive-prototypes-in-figma-8e64e34848b1,building_massive_prototypes_in figma,"why,_how_and_what_of_creating_complex_prototypes.",104.0,0,7,ux_collective,04-03-2023,36,49
23,https://uxdesign.cc/5-design-projects-using-non-human-personas-to-give-nature-a-voice-40edaae4bbb3,5_design_projects_using_non-human_personas_to_give_nature_a voice,interviews_with_practitioners_show…,132.0,1,13,ux_collective,04-03-2023,65,35
24,https://uxdesign.cc/conversational-ai-search-the-magical-bullshit-show-bcff092073c8,conversational_ai_search:_beware_of_smoke_and mirrors,search_bots_based_on_llms_contain_hidden dangers,80.0,0,12,ux_collective,04-03-2023,53,48
25,https://medium.com/swlh/ive-been-writing-online-for-the-last-9-years-and-made-7-figures-1954e4987525,"i’ve_been_writing_online_for_the_last_9_years_and_made_7_figures._if_i_had_to_start_again,_here’s_what_i’d do.",0,2600.0,58,5,the_startup,04-03-2023,110,0
26,https://medium.com/swlh/how-to-price-your-freelance-writing-services-and-make-5k-month-8dcd2ddc7213,how_to_price_your_freelance_writing_services_and_make_$5k+/month,written_by_someone_who’s_doing just…,695.0,13,7,the_startup,04-03-2023,64,36
